,missing_dates
2798,2019-01-08 23:21:38
2799,2019-01-08 23:31:02
2800,2019-01-08 23:48:57
2801,2019-01-08 23:18:19
2802,2019-01-08 23:28:21
2803,2019-01-08 23:28:31
2804,2019-01-09 00:45:18
2805,2019-01-09 00:56:43
2806,2019-01-09 00:35:07
2807,2019-01-09 00:46:50
2808,2019-01-09 00:13:57
2809,2019-01-09 00:15:07
2810,2019-01-09 00:30:51
2811,2019-01-09 00:30:51
2812,2019-01-09 00:16:17
2813,2019-01-09 00:49:27
2814,2019-01-09 01:55:07
2815,2019-01-09 01:55:07
2816,2019-01-09 01:34:38
2817,2019-01-09 01:29:44
2818,2019-01-09 01:24:39
2819,2019-01-09 01:01:52
2820,2019-01-09 01:01:52
2821,2019-01-09 01:29:20
2822,2019-01-09 02:10:20
2823,2019-01-09 02:40:56
2824,2019-01-09 02:38:36
2825,2019-01-09 02:18:06
2826,2019-01-09 02:59:46
2827,2019-01-09 03:37:45
2828,2019-01-09 03:49:06
2829,2019-01-09 04:58:26
2830,2019-01-09 04:14:27
2831,2019-01-09 04:10:16
2832,2019-01-09 05:43:09
2833,2019-01-09 06:53:20
2834,2019-01-09 05:57:01
2835,2019-01-09 05:47:18
2836,2019-01-09 06:34:55
2837,2019-01-09 05:38:38
2838,2019-01-09 06:23:09
2839,2019-01-09 06:55:57
2840,2019-01-09 06:28:21
2841,2019-01-09 06:31:50
2842,2019-01-09 05:56:30
2843,2019-01-09 05:56:30
2844,2019-01-09 06:22:35
2845,2019-01-09 06:43:04
2846,2019-01-09 06:43:04
2847,2019-01-09 06:45:05
2848,2019-01-09 06:53:32
2849,2019-01-09 06:40:56
2850,2019-01-09 08:02:12
2851,2019-01-09 07:46:59
2852,2019-01-09 07:29:34
2853,2019-01-09 07:45:08
2854,2019-01-09 07:45:08
2855,2019-01-09 07:53:43
2856,2019-01-09 07:24:17
2857,2019-01-10 06:34:55
2858,2019-01-09 07:22:59
2859,2019-01-09 07:32:54
2860,2019-01-09 07:57:51
2861,2019-01-09 08:06:16
2862,2019-01-09 07:59:56
2863,2019-01-09 07:11:18
2864,2019-01-09 08:47:18
2865,2019-01-09 08:47:18
2866,2019-01-09 08:21:45
2867,2019-01-09 08:45:32
2868,2019-01-09 08:56:28
2869,2019-01-09 08:24:31
2870,2019-01-09 08:22:50
2871,2019-01-09 08:34:18
2872,2019-01-09 08:02:45
2873,2019-01-09 08:35:50
2874,2019-01-09 08:53:53
2875,2019-01-09 08:54:23
2876,2019-01-09 08:03:58
2877,2019-01-09 08:45:00
2878,2019-01-09 09:04:18
2879,2019-01-09 08:47:09
2880,2019-01-09 08:47:09
2881,2019-01-09 09:07:48
2882,2019-01-09 08:02:09
2883,2019-01-09 08:33:00
2884,2019-01-09 08:27:14
2885,2019-01-09 08:21:03
2886,2019-01-09 08:42:18
2887,2019-01-09 09:32:38
2888,2019-01-09 09:02:00
2889,2019-01-09 09:17:43
2890,2019-01-09 09:22:42
2891,2019-01-09 09:01:17
2892,2019-01-09 09:01:17
2893,2019-01-09 09:57:24
2894,2019-01-09 09:37:25
2895,2019-01-09 09:47:11
2896,2019-01-09 09:26:15
2897,2019-01-09 10:20:00
2898,2019-01-09 09:37:26
2899,2019-01-09 09:46:19
2900,2019-01-09 09:57:31
2901,2019-01-09 09:37:41
2902,2019-01-09 09:36:07
2903,2019-01-09 09:25:15
2904,2019-01-09 09:25:15
2905,2019-01-09 09:42:02
2906,2019-01-09 10:40:14
2907,2019-01-09 09:23:07
2908,2019-01-09 09:54:46
2909,2019-01-09 09:55:02
2910,2019-01-09 10:23:08
2911,2019-01-09 10:23:08
2912,2019-01-09 10:42:51
2913,2019-01-09 10:15:01
2914,2019-01-09 10:11:40
2915,2019-01-09 10:41:16
2916,2019-01-09 10:10:12
2917,2019-01-09 10:16:21
2918,2019-01-09 11:08:01
2919,2019-01-09 10:41:08
2920,2019-01-09 10:35:20
2921,2019-01-09 10:40:45
2922,2019-01-09 10:40:45
2923,2019-01-09 10:22:20
2924,2019-01-09 10:36:32
2925,2019-01-09 10:13:04
2926,2019-01-09 10:44:18
2927,2019-01-09 10:22:44
2928,2019-01-09 10:52:57
2929,2019-01-09 10:43:08
2930,2019-01-09 11:03:42
2931,2019-01-09 10:45:22
2932,2019-01-09 10:45:22
2933,2019-01-09 10:49:04
2934,2019-01-09 10:56:12
2935,2019-01-09 10:08:11
2936,2019-01-09 10:08:11
2937,2019-01-09 10:49:51
2938,2019-01-09 10:49:51
2939,2019-01-09 11:26:27
2940,2019-01-09 10:05:34
2941,2019-01-09 10:44:16
2942,2019-01-09 10:28:35
2943,2019-01-09 10:34:13
2944,2019-01-09 12:00:39
2945,2019-01-09 12:00:57
2946,2019-01-09 11:03:04
2947,2019-01-09 11:07:33
2948,2019-01-09 11:45:03
2949,2019-01-09 11:45:42
2950,2019-01-09 11:40:51
2951,2019-01-09 11:13:31
2952,2019-01-09 11:53:09
2953,2019-01-09 11:36:52
2954,2019-01-09 11:36:52
2955,2019-01-09 11:52:04
2956,2019-01-09 11:26:47
2957,2019-01-09 10:50:57
2958,2019-01-09 11:39:45
2959,2019-01-09 11:39:45
2960,2019-01-09 11:37:35
2961,2019-01-09 11:47:35
2962,2019-01-09 11:06:35
2963,2019-01-09 11:31:53
2964,2019-01-09 11:39:50
2965,2019-01-09 11:37:19
2966,2019-01-09 11:18:12
2967,2019-01-09 11:52:41
2968,2019-01-09 11:52:41
2969,2019-01-09 11:45:05
2970,2019-01-09 11:16:09
2971,2019-01-09 11:16:09
2972,2019-01-09 11:40:11
2973,2019-01-09 11:20:22
2974,2019-01-09 11:54:21
2975,2019-01-09 11:55:03
2976,2019-01-09 12:56:14
2977,2019-01-09 12:06:32
2978,2019-01-09 12:16:48
2979,2019-01-09 12:32:20
2980,2019-01-09 12:56:25
2981,2019-01-09 12:56:25
2982,2019-01-09 12:45:41
2983,2019-01-09 12:13:14
2984,2019-01-09 12:42:54
2985,2019-01-09 12:11:13
2986,2019-01-09 12:18:05
2987,2019-01-09 13:17:18
2988,2019-01-09 12:41:02
2989,2019-01-09 12:36:28
2990,2019-01-09 12:41:43
2991,2019-01-09 12:06:33
2992,2019-01-09 12:17:42
2993,2019-01-09 12:28:36
2994,2019-01-09 12:28:36
2995,2019-01-09 12:36:52
2996,2019-01-09 12:15:14
2997,2019-01-09 12:15:14
2998,2019-01-09 13:30:23
2999,2019-01-09 13:30:59
3000,2019-01-09 13:16:41
3001,2019-01-09 13:47:14
3002,2019-01-09 13:54:23
3003,2019-01-09 14:01:50
3004,2019-01-09 13:37:30
3005,2019-01-09 14:08:45
3006,2019-01-09 13:01:04
3007,2019-01-09 13:17:27
3008,2019-01-09 13:19:16
3009,2019-01-09 13:19:53
3010,2019-01-09 13:20:31
3011,2019-01-09 13:54:02
3012,2019-01-09 13:54:02
3013,2019-01-09 13:41:15
3014,2019-01-09 13:39:31
3015,2019-01-09 13:23:55
3016,2019-01-09 13:30:51
3017,2019-01-09 13:50:20
3018,2019-01-09 13:50:51
3019,2019-01-09 13:21:41
3020,2019-01-09 14:01:26
3021,2019-01-09 13:45:28
3022,2019-01-09 13:22:47
3023,2019-01-09 13:57:16
3024,2019-01-09 14:40:20
3025,2019-01-09 14:50:15
3026,2019-01-09 15:01:39
3027,2019-01-09 14:13:42
3028,2019-01-09 14:14:49
3029,2019-01-09 14:27:58
3030,2019-01-09 14:29:22
3031,2019-01-09 13:52:34
3032,2019-01-09 13:52:34
3033,2019-01-09 14:03:33
3034,2019-01-09 14:29:05
3035,2019-01-09 14:22:06
3036,2019-01-09 14:31:40
3037,2019-01-09 14:57:59
3038,2019-01-09 15:00:47
3039,2019-01-09 14:30:04
3040,2019-01-09 14:30:04
3041,2019-01-09 14:46:10
3042,2019-01-09 14:08:33
3043,2019-01-09 14:56:55
3044,2019-01-09 14:56:55
3045,2019-01-09 15:03:30
3046,2019-01-09 14:13:13
3047,2019-01-09 14:10:20
3048,2019-01-09 15:24:03
3049,2019-01-09 15:28:22
3050,2019-01-09 15:26:42
3051,2019-01-09 15:41:19
3052,2019-01-09 15:17:53
3053,2019-01-09 15:41:36
3054,2019-01-09 16:16:55
3055,2019-01-09 15:59:33
3056,2019-01-09 15:36:08
3057,2019-01-09 15:45:58
3058,2019-01-09 15:06:58
3059,2019-01-09 15:32:36
3060,2019-01-09 15:22:59
3061,2019-01-09 15:28:20
3062,2019-01-09 16:06:03
3063,2019-01-09 15:31:01
3064,2019-01-09 15:38:14
3065,2019-01-09 15:38:14
3066,2019-01-09 15:53:12
3067,2019-01-09 15:36:07
3068,2019-01-09 16:11:32
3069,2019-01-09 16:14:01
3070,2019-01-09 16:43:49
3071,2019-01-09 16:44:34
3072,2019-01-09 16:33:42
3073,2019-01-09 16:06:31
3074,2019-01-09 16:06:31
3075,2019-01-09 17:01:12
3076,2019-01-09 16:11:27
3077,2019-01-09 16:28:28
3078,2019-01-09 16:56:13
3079,2019-01-09 16:38:34
3080,2019-01-09 17:06:45
3081,2019-01-09 16:07:31
3082,2019-01-09 16:09:29
3083,2019-01-09 16:15:14
3084,2019-01-09 16:59:44
3085,2019-01-09 16:44:53
3086,2019-01-09 16:16:38
3087,2019-01-09 16:52:28
3088,2019-01-09 16:49:12
3089,2019-01-09 16:57:58
3090,2019-01-09 16:16:11
3091,2019-01-09 16:45:53
3092,2019-01-10 17:02:20
3093,2019-01-09 16:38:23
3094,2019-01-09 16:09:38
3095,2019-01-09 17:28:51
3096,2019-01-09 17:29:34
3097,2019-01-09 17:20:10
3098,2019-01-09 17:24:53
3099,2019-01-09 17:46:01
3100,2019-01-09 17:47:42
3101,2019-01-09 17:47:42
3102,2019-01-09 17:52:49
3103,2019-01-09 17:52:49
3104,2019-01-09 17:18:22
3105,2019-01-09 17:18:22
3106,2019-01-09 17:21:54
3107,2019-01-09 17:31:36
3108,2019-01-09 17:43:39
3109,2019-01-09 17:16:45
3110,2019-01-09 17:33:38
3111,2019-01-09 17:27:16
3112,2019-01-09 17:27:16
3113,2019-01-09 17:29:08
3114,2019-01-09 18:36:45
3115,2019-01-09 18:16:15
3116,2019-01-09 18:14:23
3117,2019-01-09 18:03:34
3118,2019-01-09 18:17:09
3119,2019-01-09 18:27:49
3120,2019-01-09 18:45:29
3121,2019-01-09 18:55:01
3122,2019-01-09 18:09:05
3123,2019-01-09 18:34:07
3124,2019-01-09 19:01:57
3125,2019-01-09 18:33:52
3126,2019-01-09 18:22:34
3127,2019-01-09 18:22:34
3128,2019-01-09 18:20:26
3129,2019-01-09 19:13:29
3130,2019-01-09 19:22:35
3131,2019-01-09 19:31:53
3132,2019-01-09 19:51:29
3133,2019-01-09 19:51:29
3134,2019-01-09 19:45:33
3135,2019-01-09 19:52:22
3136,2019-01-09 19:58:11
3137,2019-01-09 19:48:36
3138,2019-01-09 19:06:10
3139,2019-01-09 19:19:39
3140,2019-01-09 19:28:47
3141,2019-01-09 20:06:52
3142,2019-01-09 19:56:03
3143,2019-01-09 19:27:02
3144,2019-01-09 19:56:54
3145,2019-01-09 19:27:34
3146,2019-01-09 20:00:38
3147,2019-01-09 19:30:39
3148,2019-01-09 20:29:09
3149,2019-01-09 20:14:00
3150,2019-01-09 20:15:42
3151,2019-01-09 20:03:06
3152,2019-01-09 20:46:48
3153,2019-01-09 20:29:04
3154,2019-01-09 21:02:39
3155,2019-01-09 20:19:08
3156,2019-01-09 20:06:54
3157,2019-01-09 20:24:49
3158,2019-01-09 20:04:34
3159,2019-01-09 20:04:34
3160,2019-01-09 20:38:01
3161,2019-01-09 20:31:00
3162,2019-01-09 20:56:45
3163,2019-01-09 20:29:48
3164,2019-01-09 20:54:13
3165,2019-01-09 20:19:40
3166,2019-01-09 20:38:46
3167,2019-01-09 20:46:45
3168,2019-01-09 20:32:24
3169,2019-01-09 20:43:39
3170,2019-01-09 20:02:52
3171,2019-01-09 20:19:53
3172,2019-01-09 20:40:48
3173,2019-01-09 21:46:35
3174,2019-01-09 21:44:28
3175,2019-01-09 21:27:02
3176,2019-01-09 20:22:37
3177,2019-01-09 21:53:24
3178,2019-01-09 21:53:24
3179,2019-01-09 21:16:43
3180,2019-01-09 21:28:01
3181,2019-01-09 22:10:15
3182,2019-01-09 21:05:30
3183,2019-01-09 21:04:59
3184,2019-01-09 21:30:24
3185,2019-01-09 21:50:11
3186,2019-01-09 21:46:27
3187,2019-01-09 21:31:06
3188,2019-01-09 22:13:48
3189,2019-01-09 22:18:34
3190,2019-01-09 22:40:06
3191,2019-01-09 18:46:22
3192,2019-01-09 22:44:17
3193,2019-01-09 22:32:53
3194,2019-01-09 22:38:30
3195,2019-01-09 22:39:15
3196,2019-01-09 22:11:35
3197,2019-01-09 22:11:35
3198,2019-01-09 23:01:44
3199,2019-01-09 22:47:20
3200,2019-01-09 22:33:56
3201,2019-01-09 23:49:27
3202,2019-01-09 23:49:27
3203,2019-01-09 23:31:09
3204,2019-01-09 23:35:30
3205,2019-01-09 23:29:01
3206,2019-01-09 23:04:11
3207,2019-01-09 23:56:39
3208,2019-01-09 23:51:32
3209,2019-01-09 23:14:09
3210,2019-01-09 23:24:30
3211,2019-01-09 23:24:30
3212,2019-01-10 00:23:27
3213,2019-01-10 00:51:58
3214,2019-01-10 00:52:39
3215,2019-01-10 00:53:24
3216,2019-01-10 01:48:17
3217,2019-01-10 01:48:17
3218,2019-01-10 01:47:21
3219,2019-01-10 01:21:05
3220,2019-01-10 01:23:52
3221,2019-01-10 01:45:34
3222,2019-01-10 01:33:40
3223,2019-01-10 01:48:40
3224,2019-01-10 01:18:59
3225,2019-01-10 02:10:00
3226,2019-01-10 02:00:47
3227,2019-01-10 02:19:21
3228,2019-01-10 02:34:16
3229,2019-01-10 03:56:34
3230,2019-01-10 04:21:03
3231,2019-01-10 04:21:03
3232,2019-01-10 04:51:41
3233,2019-01-10 05:06:47
3234,2019-01-10 04:12:14
3235,2019-01-10 04:12:14
3236,2019-01-10 04:46:46
3237,2019-01-10 06:07:02
3238,2019-01-10 06:32:01
3239,2019-01-10 06:31:50
3240,2019-01-10 05:50:06
3241,2019-01-10 05:43:07
3242,2019-01-10 05:43:07
3243,2019-01-10 05:06:40
3244,2019-01-10 06:14:01
3245,2019-01-10 06:14:01
3246,2019-01-10 06:41:59
3247,2019-01-10 06:21:32
3248,2019-01-10 06:51:27
3249,2019-01-10 06:04:22
3250,2019-01-10 06:16:15
3251,2019-01-10 07:04:25
3252,2019-01-10 06:55:14
3253,2019-01-10 06:55:14
3254,2019-01-10 06:26:41
3255,2019-01-10 06:44:19
3256,2019-01-10 06:44:19
3257,2019-01-10 06:30:09
3258,2019-01-10 06:20:43
3259,2019-01-10 07:46:42
3260,2019-01-10 07:46:42
3261,2019-01-10 07:38:08
3262,2019-01-10 06:43:13
3263,2019-01-10 07:21:46
3264,2019-01-10 07:35:14
3265,2019-01-10 07:34:00
3266,2019-01-10 07:37:19
3267,2019-01-10 07:59:50
3268,2019-01-10 07:28:54
3269,2019-01-10 07:49:19
3270,2019-01-10 07:49:19
3271,2019-01-10 07:09:00
3272,2019-01-10 07:39:48
3273,2019-01-10 07:39:48
3274,2019-01-10 07:49:13
3275,2019-01-10 07:49:13
3276,2019-01-10 07:34:54
3277,2019-01-10 07:56:07
3278,2019-01-10 08:23:40
3279,2019-01-10 08:56:09
3280,2019-01-10 08:14:28
3281,2019-01-10 08:39:41
3282,2019-01-10 08:39:41
3283,2019-01-10 08:10:32
3284,2019-01-10 08:16:43
3285,2019-01-10 08:57:21
3286,2019-01-10 08:48:58
3287,2019-01-10 09:49:22
3288,2019-01-10 08:38:34
3289,2019-01-10 08:15:13
3290,2019-01-10 08:46:29
3291,2019-01-10 09:02:16
3292,2019-01-10 08:28:02
3293,2019-01-10 08:10:30
3294,2019-01-10 08:12:57
3295,2019-01-10 08:12:57
3296,2019-01-10 09:06:40
3297,2019-01-10 08:53:41
3298,2019-01-10 08:56:41
3299,2019-01-10 08:44:04
3300,2019-01-10 08:44:04
3301,2019-01-10 08:12:06
3302,2019-01-10 08:43:37
3303,2019-01-10 08:43:37
3304,2019-01-10 09:09:27
3305,2019-01-10 08:17:32
3306,2019-01-10 08:43:23
3307,2019-01-10 08:51:16
3308,2019-01-10 09:12:47
3309,2019-01-10 09:15:03
3310,2019-01-10 09:44:39
3311,2019-01-10 09:52:05
3312,2019-01-10 09:28:43
3313,2019-01-10 09:28:43
3314,2019-01-10 09:38:24
3315,2019-01-10 09:09:43
3316,2019-01-10 09:50:11
3317,2019-01-10 09:57:24
3318,2019-01-10 10:03:19
3319,2019-01-10 09:51:44
3320,2019-01-10 09:48:34
3321,2019-01-10 09:34:31
3322,2019-01-10 09:34:31
3323,2019-01-10 10:21:43
3324,2019-01-10 09:46:47
3325,2019-01-10 09:05:22
3326,2019-01-10 09:50:08
3327,2019-01-10 09:20:49
3328,2019-01-10 10:15:16
3329,2019-01-10 10:31:18
3330,2019-01-10 11:07:49
3331,2019-01-10 10:06:50
3332,2019-01-10 10:53:57
3333,2019-01-10 10:58:46
3334,2019-01-10 10:52:50
3335,2019-01-10 10:19:46
3336,2019-01-10 10:45:08
3337,2019-01-10 11:11:27
3338,2019-01-10 10:21:36
3339,2019-01-10 10:21:33
3340,2019-01-10 10:21:33
3341,2019-01-10 10:16:57
3342,2019-01-10 10:40:29
3343,2019-01-10 10:47:22
3344,2019-01-10 11:49:26
3345,2019-01-10 11:46:46
3346,2019-01-10 11:00:03
3347,2019-01-10 11:00:03
3348,2019-01-10 11:40:27
3349,2019-01-10 11:14:22
3350,2019-01-10 11:45:19
3351,2019-01-10 11:19:06
3352,2019-01-10 11:52:10
3353,2019-01-10 11:32:03
3354,2019-01-10 11:08:53
3355,2019-01-10 11:51:17
3356,2019-01-10 10:59:42
3357,2019-01-10 10:59:42
3358,2019-01-10 11:29:29
3359,2019-01-10 11:10:19
3360,2019-01-10 11:30:18
3361,2019-01-10 11:56:59
3362,2019-01-10 11:48:03
3363,2019-01-10 10:59:27
3364,2019-01-10 11:01:31
3365,2019-01-10 11:01:05
3366,2019-01-10 11:23:39
3367,2019-01-10 11:22:20
3368,2019-01-10 12:13:59
3369,2019-01-10 11:48:00
3370,2019-01-10 11:48:00
3371,2019-01-10 11:05:07
3372,2019-01-10 12:56:34
3373,2019-01-10 12:57:26
3374,2019-01-10 12:55:37
3375,2019-01-10 12:55:37
3376,2019-01-10 12:21:22
3377,2019-01-10 12:54:24
3378,2019-01-10 12:28:25
3379,2019-01-10 12:35:38
3380,2019-01-10 12:52:17
3381,2019-01-10 12:13:06
3382,2019-01-10 13:02:21
3383,2019-01-02 00:02:08
3384,2019-01-10 12:32:28
3385,2019-01-10 12:32:28
3386,2019-01-10 12:44:31
3387,2019-01-10 12:07:02
3388,2019-01-10 12:21:32
3389,2019-01-10 12:53:19
3390,2019-01-10 12:53:19
3391,2019-01-10 13:04:16
3392,2019-01-10 12:12:45
3393,2019-01-10 12:18:02
3394,2019-01-10 12:41:20
3395,2019-01-10 13:03:08
3396,2019-01-10 12:19:18
3397,2019-01-10 12:45:21
3398,2019-01-10 12:59:17
3399,2019-01-10 12:05:49
3400,2019-01-10 13:01:41
3401,2019-01-10 13:01:18
3402,2019-01-10 12:17:30
3403,2019-01-10 12:11:19
3404,2019-01-10 12:11:19
3405,2019-01-10 12:48:27
3406,2019-01-10 12:48:27
3407,2019-01-10 12:08:17
3408,2019-01-10 13:04:33
3409,2019-01-10 12:36:28
3410,2019-01-10 12:36:51
3411,2019-01-10 13:22:30
3412,2019-01-10 13:28:06
3413,2019-01-10 13:29:12
3414,2019-01-10 13:05:01
3415,2019-01-10 13:26:20
3416,2019-01-10 13:26:20
3417,2019-01-11 11:43:43
3418,2019-01-10 13:07:38
3419,2019-01-10 13:07:38
3420,2019-01-10 13:02:11
3421,2019-01-10 13:07:18
3422,2019-01-10 13:52:46
3423,2019-01-10 13:53:54
3424,2019-01-10 13:47:11
3425,2019-01-10 13:24:37
3426,2019-01-10 14:01:42
3427,2019-01-10 13:53:02
3428,2019-01-10 13:12:09
3429,2019-01-10 13:49:43
3430,2019-01-10 13:49:43
3431,2019-01-10 13:16:41
3432,2019-01-10 13:47:00
3433,2019-01-10 13:58:13
3434,2019-01-10 13:01:47
3435,2019-01-10 13:46:59
3436,2019-01-10 13:51:31
3437,2019-01-10 14:11:39
3438,2019-01-10 14:42:51
3439,2019-01-10 14:13:24
3440,2019-01-10 14:13:24
3441,2019-01-10 14:41:22
3442,2019-01-10 14:41:22
3443,2019-01-10 14:20:52
3444,2019-01-10 14:28:27
3445,2019-01-10 14:49:36
3446,2019-01-10 14:25:04
3447,2019-01-10 14:55:26
3448,2019-01-10 14:56:57
3449,2019-01-10 15:01:07
3450,2019-01-10 14:50:41
3451,2019-01-10 14:59:20
3452,2019-01-10 14:37:36
3453,2019-01-10 14:15:52
3454,2019-01-10 14:13:57
3455,2019-01-10 14:17:54
3456,2019-01-10 14:17:54
3457,2019-01-10 14:25:34
3458,2019-01-10 14:25:34
3459,2019-01-10 14:52:57
3460,2019-01-10 14:05:43
3461,2019-01-10 14:54:37
3462,2019-01-10 15:09:41
3463,2019-01-10 14:31:48
3464,2019-01-10 15:00:15
3465,2019-01-10 14:35:37
3466,2019-01-10 14:35:37
3467,2019-01-10 14:27:31
3468,2019-01-10 14:16:16
3469,2019-01-10 08:02:42
3470,2019-01-10 15:58:41
3471,2019-01-10 16:00:45
3472,2019-01-10 15:45:40
3473,2019-01-10 15:34:04
3474,2019-01-10 15:22:02
3475,2019-01-10 15:46:58
3476,2019-01-10 15:56:18
3477,2019-01-10 15:56:18
3478,2019-01-10 15:56:08
3479,2019-01-10 15:11:57
3480,2019-01-10 15:42:27
3481,2019-01-10 15:20:14
3482,2019-01-10 15:55:59
3483,2019-01-10 16:16:21
3484,2019-01-10 16:16:21
3485,2019-01-10 16:04:18
3486,2019-01-10 16:19:52
3487,2019-01-10 16:26:45
3488,2019-01-10 16:26:45
3489,2019-01-10 16:53:54
3490,2019-01-10 16:55:02
3491,2019-01-10 16:48:27
3492,2019-01-10 16:41:44
3493,2019-01-10 16:41:44
3494,2019-01-10 16:56:45
3495,2019-01-10 15:43:20
3496,2019-01-10 16:06:07
3497,2019-01-10 16:27:43
3498,2019-01-10 16:08:47
3499,2019-01-10 16:28:25
3500,2019-01-10 16:24:09
3501,2019-01-10 16:09:37
3502,2019-01-10 16:45:08
3503,2019-01-10 16:43:05
3504,2019-01-10 16:31:04
3505,2019-01-10 16:26:08
3506,2019-01-10 16:24:01
3507,2019-01-10 16:17:13
3508,2019-01-10 16:25:26
3509,2019-01-10 16:54:01
3510,2019-01-10 17:55:22
3511,2019-01-10 17:49:39
3512,2019-01-10 17:16:59
3513,2019-01-10 17:39:33
3514,2019-01-10 17:14:11
3515,2019-01-10 17:14:11
3516,2019-01-10 17:20:37
3517,2019-01-10 17:09:03
3518,2019-01-10 17:25:52
3519,2019-01-10 17:44:58
3520,2019-01-10 17:42:20
3521,2019-01-10 17:07:07
3522,2019-01-10 17:44:22
3523,2019-01-10 17:16:33
3524,2019-01-10 17:28:35
3525,2019-01-10 17:54:52
3526,2019-01-10 17:12:30
3527,2019-01-10 17:08:11
3528,2019-01-10 17:30:30
3529,2019-01-10 18:08:33
3530,2019-01-10 18:09:18
3531,2019-01-10 17:43:06
3532,2019-01-10 17:13:12
3533,2019-01-10 17:44:26
3534,2019-01-10 17:51:11
3535,2019-01-10 17:03:20
3536,2019-01-10 18:57:37
3537,2019-01-10 18:00:54
3538,2019-01-10 18:00:54
3539,2019-01-10 18:30:27
3540,2019-01-10 18:57:27
3541,2019-01-10 18:23:33
3542,2019-01-10 18:37:21
3543,2019-01-10 18:18:15
3544,2019-01-10 18:34:34
3545,2019-01-10 18:20:49
3546,2019-01-10 18:34:26
3547,2019-01-10 18:51:42
3548,2019-01-10 18:38:57
3549,2019-01-10 18:39:39
3550,2019-01-10 18:09:58
3551,2019-01-10 18:57:01
3552,2019-01-10 18:21:27
3553,2019-01-10 18:15:59
3554,2019-01-10 19:00:10
3555,2019-01-10 18:18:33
3556,2019-01-10 18:43:33
3557,2019-01-10 18:11:38
3558,2019-01-10 18:12:55
3559,2019-01-10 18:40:12
3560,2019-01-10 18:20:11
3561,2019-01-10 18:34:07
3562,2019-01-10 18:12:03
3563,2019-01-10 18:42:30
3564,2019-01-10 18:41:58
3565,2019-01-10 19:44:17
3566,2019-01-10 19:31:25
3567,2019-01-10 19:21:34
3568,2019-01-10 19:22:52
3569,2019-01-10 19:50:31
3570,2019-01-10 18:29:57
3571,2019-01-10 19:12:58
3572,2019-01-10 20:07:04
3573,2019-01-10 19:32:38
3574,2019-01-10 19:14:55
3575,2019-01-10 19:26:48
3576,2019-01-10 19:38:53
3577,2019-01-10 19:55:35
3578,2019-01-10 20:29:12
3579,2019-01-10 19:43:30
3580,2019-01-10 19:11:14
3581,2019-01-10 19:59:26
3582,2019-01-10 19:10:04
3583,2019-01-10 19:10:04
3584,2019-01-10 19:06:40
3585,2019-01-10 19:36:29
3586,2019-01-10 19:16:08
3587,2019-01-10 20:22:46
3588,2019-01-10 20:34:35
3589,2019-01-10 20:31:45
3590,2019-01-10 20:07:21
3591,2019-01-10 20:42:24
3592,2019-01-10 22:03:05
3593,2019-01-10 22:03:05
3594,2019-01-10 21:25:46
3595,2019-01-10 21:43:54
3596,2019-01-10 21:57:08
3597,2019-01-10 21:37:35
3598,2019-01-10 21:42:13
3599,2019-01-10 21:45:43
3600,2019-01-10 21:47:39
3601,2019-01-10 21:05:57
3602,2019-01-10 21:16:25
3603,2019-01-10 21:47:04
3604,2019-01-10 22:09:18
3605,2019-01-10 22:01:56
3606,2019-01-10 21:27:09
3607,2019-01-10 21:34:46
3608,2019-01-10 22:21:08
3609,2019-01-10 22:06:48
3610,2019-01-10 22:06:48
3611,2019-01-10 22:32:44
3612,2019-01-10 22:41:06
3613,2019-01-10 22:30:00
3614,2019-01-10 22:16:08
3615,2019-01-10 22:30:31
3616,2019-01-10 22:42:17
3617,2019-01-10 22:16:12
3618,2019-01-10 22:23:10
3619,2019-01-10 22:53:40
3620,2019-01-10 22:32:32
3621,2019-01-10 22:38:59
3622,2019-01-10 22:34:26
3623,2019-01-10 23:24:53
3624,2019-01-10 23:56:24
3625,2019-01-10 23:55:07
3626,2019-01-10 23:53:52
3627,2019-01-10 23:18:13
3628,2019-01-10 23:23:12
3629,2019-01-10 23:18:51
3630,2019-01-10 23:45:17
3631,2019-01-10 23:40:44
3632,2019-01-10 23:07:09
3633,2019-01-10 23:07:09
3634,2019-01-10 23:35:06
3635,2019-01-10 23:11:27
3636,2019-01-11 00:47:16
3637,2019-01-11 00:35:23
3638,2019-01-11 00:58:34
3639,2019-01-11 00:31:18
3640,2019-01-11 00:42:31
3641,2019-01-11 00:44:55
3642,2019-01-11 00:43:43
3643,2019-01-11 00:45:29
3644,2019-01-12 00:00:00
3645,2019-01-11 01:30:43
3646,2019-01-11 01:44:13
3647,2019-01-11 02:55:07
3648,2019-01-11 02:56:44
3649,2019-01-11 02:35:16
3650,2019-01-11 02:41:28
3651,2019-01-11 02:45:14
3652,2019-01-11 02:27:54
3653,2019-01-11 02:32:54
3654,2019-01-11 03:04:30
3655,2019-01-11 03:18:21
3656,2019-01-11 03:07:30
3657,2019-01-11 03:29:40
3658,2019-01-11 03:14:32
3659,2019-01-11 03:57:03
3660,2019-01-11 03:32:39
3661,2019-01-11 03:33:12
3662,2019-01-11 03:13:16
3663,2019-01-11 03:10:28
3664,2019-01-11 04:24:15
3665,2019-01-11 04:23:32
3666,2019-01-11 04:06:23
3667,2019-01-11 04:09:51
3668,2019-01-11 04:09:51
3669,2019-01-11 05:36:38
3670,2019-01-11 05:22:09
3671,2019-01-11 05:22:56
